seed,range,num_data,packets
8,100,5,542
8,150,5,530
8,200,5,522
8,250,5,518
8,300,5,516
8,100,10,1094
8,150,10,1062
8,200,10,1046
8,250,10,1036
8,300,10,1032
8,100,15,1654
8,150,15,1598
8,200,15,1578
8,250,15,1558
8,300,15,1552
8,100,20,2210
8,150,20,2134
8,200,20,2106
8,250,20,2082
8,300,20,2070
8,100,25,2764
8,150,25,2670
8,200,25,2630
8,250,25,2602
8,300,25,2588
8,100,30,3312
8,150,30,3200
8,200,30,3154
8,250,30,3122
8,300,30,3104
8,100,35,3850
8,150,35,3722
8,200,35,3672
8,250,35,3636
8,300,35,3618
8,100,40,4402
8,150,40,4254
8,200,40,4198
8,250,40,4156
8,300,40,4136
8,100,45,4948
8,150,45,4782
8,200,45,4720
8,250,45,4674
8,300,45,4652
8,100,50,5494
8,150,50,5312
8,200,50,5240
8,250,50,5192
8,300,50,5168
8,100,55,6028
8,150,55,5838
8,200,55,5756
8,250,55,5708
8,300,55,5682
8,100,60,6570
8,150,60,6364
8,200,60,6280
8,250,60,6226
8,300,60,6198
8,100,65,7126
8,150,65,6898
8,200,65,6810
8,250,65,6748
8,300,65,6718
8,100,70,7664
8,150,70,7426
8,200,70,7332
8,250,70,7266
8,300,70,7232
8,100,75,8216
8,150,75,7964
8,200,75,7860
8,250,75,7790
8,300,75,7748
8,100,80,8756
8,150,80,8488
8,200,80,8380
8,250,80,8304
8,300,80,8262
8,100,85,9298
8,150,85,9016
8,200,85,8902
8,250,85,8824
8,300,85,8776
8,100,90,9854
8,150,90,9548
8,200,90,9428
8,250,90,9348
8,300,90,9292
8,100,95,10392
8,150,95,10074
8,200,95,9948
8,250,95,9866
8,300,95,9810
8,100,100,10946
8,150,100,10612
8,200,100,10478
8,250,100,10388
8,300,100,10328
