seed,range,num_data,packets
11,100,5,845
11,100,10,916
11,100,15,985
11,100,20,1084
11,100,25,1131
11,100,30,1208
11,100,35,1264
11,100,40,1349
11,100,45,1518
11,100,50,1480
11,100,55,1580
11,100,60,1667
11,100,65,1690
11,100,70,1712
11,100,75,1827
11,100,80,1911
11,100,85,1913
11,100,90,2042
11,100,95,2094
11,100,100,2203
11,150,5,604
11,150,10,648
11,150,15,690
11,150,20,741
11,150,25,788
11,150,30,857
11,150,35,879
11,150,40,914
11,150,45,973
11,150,50,1022
11,150,55,1075
11,150,60,1106
11,150,65,1155
11,150,70,1185
11,150,75,1204
11,150,80,1283
11,150,85,1305
11,150,90,1369
11,150,95,1395
11,150,100,1395
11,200,5,502
11,200,10,534
11,200,15,566
11,200,20,600
11,200,25,634
11,200,30,666
11,200,35,706
11,200,40,730
11,200,45,768
11,200,50,806
11,200,55,840
11,200,60,865
11,200,65,895
11,200,70,929
11,200,75,960
11,200,80,1001
11,200,85,1010
11,200,90,1037
11,200,95,1085
11,200,100,1097
11,250,5,436
11,250,10,464
11,250,15,492
11,250,20,523
11,250,25,550
11,250,30,577
11,250,35,602
11,250,40,633
11,250,45,663
11,250,50,688
11,250,55,721
11,250,60,745
11,250,65,778
11,250,70,795
11,250,75,837
11,250,80,848
11,250,85,885
11,250,90,894
11,250,95,923
11,250,100,941
11,300,5,404
11,300,10,426
11,300,15,447
11,300,20,474
11,300,25,497
11,300,30,521
11,300,35,547
11,300,40,564
11,300,45,598
11,300,50,625
11,300,55,633
11,300,60,658
11,300,65,673
11,300,70,693
11,300,75,728
11,300,80,740
11,300,85,753
11,300,90,782
11,300,95,801
11,300,100,832
