seed,range,num_data,packets
12,100,5,542
12,150,5,526
12,200,5,520
12,250,5,514
12,300,5,514
12,100,10,1100
12,150,10,1062
12,200,10,1048
12,250,10,1036
12,300,10,1032
12,100,15,1638
12,150,15,1586
12,200,15,1566
12,250,15,1550
12,300,15,1546
12,100,20,2194
12,150,20,2120
12,200,20,2090
12,250,20,2070
12,300,20,2066
12,100,25,2738
12,150,25,2646
12,200,25,2608
12,250,25,2588
12,300,25,2580
12,100,30,3296
12,150,30,3186
12,200,30,3136
12,250,30,3112
12,300,30,3100
12,100,35,3840
12,150,35,3710
12,200,35,3656
12,250,35,3628
12,300,35,3616
12,100,40,4394
12,150,40,4242
12,200,40,4178
12,250,40,4150
12,300,40,4132
12,100,45,4928
12,150,45,4762
12,200,45,4694
12,250,45,4664
12,300,45,4642
12,100,50,5476
12,150,50,5294
12,200,50,5218
12,250,50,5184
12,300,50,5156
12,100,55,6022
12,150,55,5824
12,200,55,5738
12,250,55,5702
12,300,55,5672
12,100,60,6576
12,150,60,6358
12,200,60,6264
12,250,60,6224
12,300,60,6190
12,100,65,7106
12,150,65,6876
12,200,65,6780
12,250,65,6736
12,300,65,6702
12,100,70,7658
12,150,70,7412
12,200,70,7306
12,250,70,7256
12,300,70,7218
12,100,75,8198
12,150,75,7938
12,200,75,7824
12,250,75,7772
12,300,75,7732
12,100,80,8740
12,150,80,8466
12,200,80,8346
12,250,80,8290
12,300,80,8248
12,100,85,9294
12,150,85,9000
12,200,85,8870
12,250,85,8812
12,300,85,8762
12,100,90,9832
12,150,90,9524
12,200,90,9384
12,250,90,9324
12,300,90,9274
12,100,95,10372
12,150,95,10046
12,200,95,9902
12,250,95,9838
12,300,95,9786
12,100,100,10948
12,150,100,10596
12,200,100,10438
12,250,100,10366
12,300,100,10312
