seed,range,num_data,packets
4,100,5,794
4,100,10,833
4,100,15,889
4,100,20,960
4,100,25,1010
4,100,30,1063
4,100,35,1119
4,100,40,1221
4,100,45,1243
4,100,50,1308
4,100,55,1390
4,100,60,1426
4,100,65,1464
4,100,70,1550
4,100,75,1576
4,100,80,1654
4,100,85,1736
4,100,90,1792
4,100,95,1808
4,100,100,1895
4,150,5,572
4,150,10,598
4,150,15,634
4,150,20,678
4,150,25,714
4,150,30,750
4,150,35,795
4,150,40,841
4,150,45,868
4,150,50,911
4,150,55,982
4,150,60,1008
4,150,65,1037
4,150,70,1062
4,150,75,1136
4,150,80,1132
4,150,85,1201
4,150,90,1229
4,150,95,1285
4,150,100,1332
4,200,5,486
4,200,10,507
4,200,15,534
4,200,20,567
4,200,25,594
4,200,30,625
4,200,35,648
4,200,40,685
4,200,45,707
4,200,50,741
4,200,55,788
4,200,60,784
4,200,65,829
4,200,70,843
4,200,75,871
4,200,80,889
4,200,85,935
4,200,90,979
4,200,95,995
4,200,100,1004
4,250,5,420
4,250,10,438
4,250,15,461
4,250,20,489
4,250,25,516
4,250,30,544
4,250,35,563
4,250,40,592
4,250,45,616
4,250,50,632
4,250,55,665
4,250,60,680
4,250,65,709
4,250,70,744
4,250,75,758
4,250,80,776
4,250,85,829
4,250,90,829
4,250,95,867
4,250,100,871
4,300,5,395
4,300,10,413
4,300,15,433
4,300,20,459
4,300,25,477
4,300,30,500
4,300,35,514
4,300,40,545
4,300,45,561
4,300,50,569
4,300,55,598
4,300,60,623
4,300,65,638
4,300,70,656
4,300,75,687
4,300,80,698
4,300,85,722
4,300,90,742
4,300,95,754
4,300,100,768
