seed,range,num_data,packets
3,100,5,663
3,100,10,738
3,100,15,796
3,100,20,889
3,100,25,955
3,100,30,974
3,100,35,1017
3,100,40,1063
3,100,45,1170
3,100,50,1223
3,100,55,1262
3,100,60,1319
3,100,65,1418
3,100,70,1451
3,100,75,1527
3,100,80,1607
3,100,85,1595
3,100,90,1671
3,100,95,1752
3,100,100,1784
3,150,5,491
3,150,10,542
3,150,15,583
3,150,20,626
3,150,25,682
3,150,30,696
3,150,35,732
3,150,40,795
3,150,45,839
3,150,50,864
3,150,55,909
3,150,60,966
3,150,65,984
3,150,70,1018
3,150,75,1060
3,150,80,1082
3,150,85,1192
3,150,90,1182
3,150,95,1197
3,150,100,1285
3,200,5,418
3,200,10,457
3,200,15,488
3,200,20,522
3,200,25,554
3,200,30,579
3,200,35,616
3,200,40,635
3,200,45,662
3,200,50,694
3,200,55,756
3,200,60,767
3,200,65,804
3,200,70,854
3,200,75,854
3,200,80,882
3,200,85,936
3,200,90,943
3,200,95,996
3,200,100,1003
3,250,5,385
3,250,10,416
3,250,15,442
3,250,20,468
3,250,25,493
3,250,30,515
3,250,35,545
3,250,40,572
3,250,45,597
3,250,50,613
3,250,55,643
3,250,60,666
3,250,65,694
3,250,70,715
3,250,75,742
3,250,80,769
3,250,85,791
3,250,90,820
3,250,95,823
3,250,100,864
3,300,5,363
3,300,10,389
3,300,15,413
3,300,20,435
3,300,25,457
3,300,30,477
3,300,35,498
3,300,40,519
3,300,45,546
3,300,50,566
3,300,55,600
3,300,60,620
3,300,65,633
3,300,70,654
3,300,75,673
3,300,80,692
3,300,85,717
3,300,90,738
3,300,95,759
3,300,100,775
