seed,range,num_data,packets
17,100,5,704
17,100,10,759
17,100,15,827
17,100,20,902
17,100,25,978
17,100,30,1048
17,100,35,1103
17,100,40,1191
17,100,45,1265
17,100,50,1285
17,100,55,1345
17,100,60,1447
17,100,65,1594
17,100,70,1611
17,100,75,1649
17,100,80,1719
17,100,85,1809
17,100,90,1879
17,100,95,1976
17,100,100,2086
17,150,5,549
17,150,10,595
17,150,15,633
17,150,20,679
17,150,25,731
17,150,30,763
17,150,35,821
17,150,40,875
17,150,45,892
17,150,50,931
17,150,55,958
17,150,60,1048
17,150,65,1074
17,150,70,1104
17,150,75,1140
17,150,80,1214
17,150,85,1255
17,150,90,1295
17,150,95,1364
17,150,100,1368
17,200,5,461
17,200,10,491
17,200,15,524
17,200,20,562
17,200,25,594
17,200,30,621
17,200,35,656
17,200,40,693
17,200,45,711
17,200,50,756
17,200,55,772
17,200,60,827
17,200,65,846
17,200,70,873
17,200,75,926
17,200,80,961
17,200,85,989
17,200,90,1073
17,200,95,1042
17,200,100,1090
17,250,5,410
17,250,10,431
17,250,15,460
17,250,20,487
17,250,25,517
17,250,30,546
17,250,35,572
17,250,40,598
17,250,45,641
17,250,50,648
17,250,55,664
17,250,60,702
17,250,65,721
17,250,70,756
17,250,75,785
17,250,80,812
17,250,85,846
17,250,90,872
17,250,95,909
17,250,100,929
17,300,5,375
17,300,10,394
17,300,15,415
17,300,20,440
17,300,25,472
17,300,30,489
17,300,35,506
17,300,40,525
17,300,45,553
17,300,50,584
17,300,55,584
17,300,60,609
17,300,65,636
17,300,70,655
17,300,75,679
17,300,80,706
17,300,85,731
17,300,90,755
17,300,95,765
17,300,100,793
