seed,range,num_data,packets
20,100,5,807
20,100,10,867
20,100,15,921
20,100,20,974
20,100,25,1035
20,100,30,1111
20,100,35,1192
20,100,40,1265
20,100,45,1323
20,100,50,1376
20,100,55,1408
20,100,60,1469
20,100,65,1570
20,100,70,1657
20,100,75,1652
20,100,80,1761
20,100,85,1765
20,100,90,1968
20,100,95,1938
20,100,100,1958
20,150,5,597
20,150,10,642
20,150,15,680
20,150,20,712
20,150,25,769
20,150,30,815
20,150,35,844
20,150,40,896
20,150,45,943
20,150,50,985
20,150,55,997
20,150,60,1046
20,150,65,1070
20,150,70,1116
20,150,75,1173
20,150,80,1197
20,150,85,1232
20,150,90,1290
20,150,95,1312
20,150,100,1368
20,200,5,481
20,200,10,512
20,200,15,540
20,200,20,562
20,200,25,594
20,200,30,632
20,200,35,661
20,200,40,697
20,200,45,725
20,200,50,762
20,200,55,785
20,200,60,844
20,200,65,864
20,200,70,887
20,200,75,908
20,200,80,926
20,200,85,971
20,200,90,1008
20,200,95,1021
20,200,100,1075
20,250,5,433
20,250,10,458
20,250,15,481
20,250,20,499
20,250,25,524
20,250,30,561
20,250,35,580
20,250,40,610
20,250,45,633
20,250,50,660
20,250,55,709
20,250,60,712
20,250,65,744
20,250,70,764
20,250,75,786
20,250,80,825
20,250,85,833
20,250,90,866
20,250,95,865
20,250,100,915
20,300,5,398
20,300,10,413
20,300,15,430
20,300,20,446
20,300,25,465
20,300,30,497
20,300,35,515
20,300,40,545
20,300,45,560
20,300,50,572
20,300,55,602
20,300,60,614
20,300,65,636
20,300,70,663
20,300,75,676
20,300,80,697
20,300,85,725
20,300,90,737
20,300,95,758
20,300,100,796
