seed,range,num_data,packets
1,100,5,560
1,150,5,536
1,200,5,530
1,250,5,520
1,300,5,516
1,100,10,1104
1,150,10,1062
1,200,10,1050
1,250,10,1036
1,300,10,1030
1,100,15,1662
1,150,15,1600
1,200,15,1580
1,250,15,1558
1,300,15,1548
1,100,20,2216
1,150,20,2136
1,200,20,2104
1,250,20,2076
1,300,20,2064
1,100,25,2766
1,150,25,2664
1,200,25,2626
1,250,25,2596
1,300,25,2580
1,100,30,3306
1,150,30,3190
1,200,30,3144
1,250,30,3114
1,300,30,3094
1,100,35,3832
1,150,35,3706
1,200,35,3660
1,250,35,3626
1,300,35,3606
1,100,40,4352
1,150,40,4222
1,200,40,4174
1,250,40,4138
1,300,40,4116
1,100,45,4902
1,150,45,4756
1,200,45,4698
1,250,45,4656
1,300,45,4632
1,100,50,5440
1,150,50,5282
1,200,50,5218
1,250,50,5170
1,300,50,5146
1,100,55,6006
1,150,55,5824
1,200,55,5750
1,250,55,5696
1,300,55,5668
1,100,60,6566
1,150,60,6362
1,200,60,6278
1,250,60,6218
1,300,60,6186
1,100,65,7140
1,150,65,6906
1,200,65,6814
1,250,65,6744
1,300,65,6706
1,100,70,7676
1,150,70,7426
1,200,70,7330
1,250,70,7258
1,300,70,7216
1,100,75,8234
1,150,75,7960
1,200,75,7856
1,250,75,7780
1,300,75,7734
1,100,80,8784
1,150,80,8488
1,200,80,8378
1,250,80,8298
1,300,80,8248
1,100,85,9322
1,150,85,9016
1,200,85,8898
1,250,85,8816
1,300,85,8764
1,100,90,9868
1,150,90,9538
1,200,90,9418
1,250,90,9334
1,300,90,9278
1,100,95,10440
1,150,95,10086
1,200,95,9954
1,250,95,9860
1,300,95,9802
1,100,100,10972
1,150,100,10608
1,200,100,10470
1,250,100,10374
1,300,100,10316
