seed,range,num_data,packets
5,100,5,556
5,150,5,532
5,200,5,526
5,250,5,524
5,300,5,516
5,100,10,1122
5,150,10,1074
5,200,10,1060
5,250,10,1052
5,300,10,1036
5,100,15,1670
5,150,15,1608
5,200,15,1584
5,250,15,1572
5,300,15,1552
5,100,20,2216
5,150,20,2140
5,200,20,2110
5,250,20,2092
5,300,20,2068
5,100,25,2778
5,150,25,2674
5,200,25,2634
5,250,25,2614
5,300,25,2588
5,100,30,3314
5,150,30,3198
5,200,30,3152
5,250,30,3128
5,300,30,3102
5,100,35,3860
5,150,35,3728
5,200,35,3678
5,250,35,3648
5,300,35,3618
5,100,40,4406
5,150,40,4256
5,200,40,4200
5,250,40,4166
5,300,40,4132
5,100,45,4956
5,150,45,4788
5,200,45,4722
5,250,45,4684
5,300,45,4648
5,100,50,5518
5,150,50,5328
5,200,50,5248
5,250,50,5204
5,300,50,5168
5,100,55,6058
5,150,55,5854
5,200,55,5768
5,250,55,5724
5,300,55,5682
5,100,60,6596
5,150,60,6376
5,200,60,6288
5,250,60,6240
5,300,60,6196
5,100,65,7142
5,150,65,6900
5,200,65,6806
5,250,65,6756
5,300,65,6710
5,100,70,7702
5,150,70,7436
5,200,70,7336
5,250,70,7278
5,300,70,7228
5,100,75,8272
5,150,75,7980
5,200,75,7868
5,250,75,7804
5,300,75,7750
5,100,80,8816
5,150,80,8506
5,200,80,8390
5,250,80,8320
5,300,80,8266
5,100,85,9346
5,150,85,9028
5,200,85,8904
5,250,85,8834
5,300,85,8778
5,100,90,9890
5,150,90,9554
5,200,90,9426
5,250,90,9352
5,300,90,9294
5,100,95,10434
5,150,95,10082
5,200,95,9944
5,250,95,9868
5,300,95,9810
5,100,100,10962
5,150,100,10598
5,200,100,10460
5,250,100,10382
5,300,100,10322
