seed,range,num_data,packets
9,100,5,685
9,100,10,757
9,100,15,811
9,100,20,864
9,100,25,934
9,100,30,985
9,100,35,1061
9,100,40,1156
9,100,45,1176
9,100,50,1290
9,100,55,1330
9,100,60,1412
9,100,65,1433
9,100,70,1506
9,100,75,1575
9,100,80,1662
9,100,85,1674
9,100,90,1756
9,100,95,1809
9,100,100,1833
9,150,5,533
9,150,10,580
9,150,15,613
9,150,20,657
9,150,25,695
9,150,30,736
9,150,35,800
9,150,40,818
9,150,45,876
9,150,50,908
9,150,55,942
9,150,60,1010
9,150,65,1074
9,150,70,1097
9,150,75,1096
9,150,80,1159
9,150,85,1199
9,150,90,1213
9,150,95,1256
9,150,100,1307
9,200,5,436
9,200,10,471
9,200,15,496
9,200,20,533
9,200,25,562
9,200,30,600
9,200,35,624
9,200,40,653
9,200,45,695
9,200,50,712
9,200,55,762
9,200,60,788
9,200,65,818
9,200,70,833
9,200,75,880
9,200,80,902
9,200,85,947
9,200,90,945
9,200,95,981
9,200,100,1012
9,250,5,397
9,250,10,427
9,250,15,450
9,250,20,477
9,250,25,504
9,250,30,527
9,250,35,555
9,250,40,578
9,250,45,603
9,250,50,639
9,250,55,669
9,250,60,692
9,250,65,719
9,250,70,737
9,250,75,740
9,250,80,787
9,250,85,794
9,250,90,823
9,250,95,848
9,250,100,870
9,300,5,372
9,300,10,396
9,300,15,412
9,300,20,432
9,300,25,457
9,300,30,477
9,300,35,500
9,300,40,523
9,300,45,553
9,300,50,569
9,300,55,596
9,300,60,620
9,300,65,631
9,300,70,655
9,300,75,684
9,300,80,688
9,300,85,710
9,300,90,736
9,300,95,749
9,300,100,771
