seed,range,num_data,packets
16,100,5,552
16,150,5,536
16,200,5,528
16,250,5,520
16,300,5,518
16,100,10,1098
16,150,10,1068
16,200,10,1050
16,250,10,1038
16,300,10,1034
16,100,15,1654
16,150,15,1606
16,200,15,1578
16,250,15,1560
16,300,15,1552
16,100,20,2198
16,150,20,2136
16,200,20,2098
16,250,20,2080
16,300,20,2070
16,100,25,2720
16,150,25,2652
16,200,25,2610
16,250,25,2592
16,300,25,2580
16,100,30,3280
16,150,30,3188
16,200,30,3140
16,250,30,3114
16,300,30,3100
16,100,35,3834
16,150,35,3724
16,200,35,3664
16,250,35,3636
16,300,35,3618
16,100,40,4398
16,150,40,4268
16,200,40,4194
16,250,40,4160
16,300,40,4140
16,100,45,4956
16,150,45,4806
16,200,45,4724
16,250,45,4684
16,300,45,4660
16,100,50,5514
16,150,50,5344
16,200,50,5254
16,250,50,5204
16,300,50,5178
16,100,55,6074
16,150,55,5880
16,200,55,5782
16,250,55,5728
16,300,55,5700
16,100,60,6636
16,150,60,6422
16,200,60,6312
16,250,60,6254
16,300,60,6218
16,100,65,7200
16,150,65,6960
16,200,65,6840
16,250,65,6776
16,300,65,6738
16,100,70,7754
16,150,70,7492
16,200,70,7366
16,250,70,7294
16,300,70,7254
16,100,75,8300
16,150,75,8026
16,200,75,7890
16,250,75,7810
16,300,75,7770
16,100,80,8848
16,150,80,8554
16,200,80,8410
16,250,80,8328
16,300,80,8286
16,100,85,9384
16,150,85,9076
16,200,85,8928
16,250,85,8844
16,300,85,8798
16,100,90,9920
16,150,90,9602
16,200,90,9448
16,250,90,9356
16,300,90,9310
16,100,95,10460
16,150,95,10130
16,200,95,9970
16,250,95,9872
16,300,95,9824
16,100,100,11016
16,150,100,10668
16,200,100,10496
16,250,100,10392
16,300,100,10340
