seed,range,num_data,packets
10,100,5,548
10,150,5,532
10,200,5,522
10,250,5,516
10,300,5,514
10,100,10,1100
10,150,10,1062
10,200,10,1046
10,250,10,1036
10,300,10,1032
10,100,15,1644
10,150,15,1590
10,200,15,1564
10,250,15,1552
10,300,15,1548
10,100,20,2200
10,150,20,2126
10,200,20,2090
10,250,20,2074
10,300,20,2066
10,100,25,2748
10,150,25,2658
10,200,25,2612
10,250,25,2592
10,300,25,2580
10,100,30,3308
10,150,30,3194
10,200,30,3138
10,250,30,3114
10,300,30,3100
10,100,35,3868
10,150,35,3732
10,200,35,3666
10,250,35,3634
10,300,35,3618
10,100,40,4424
10,150,40,4266
10,200,40,4194
10,250,40,4156
10,300,40,4136
10,100,45,4992
10,150,45,4808
10,200,45,4726
10,250,45,4680
10,300,45,4660
10,100,50,5534
10,150,50,5332
10,200,50,5244
10,250,50,5196
10,300,50,5176
10,100,55,6076
10,150,55,5860
10,200,55,5764
10,250,55,5712
10,300,55,5692
10,100,60,6640
10,150,60,6400
10,200,60,6294
10,250,60,6234
10,300,60,6212
10,100,65,7184
10,150,65,6926
10,200,65,6814
10,250,65,6752
10,300,65,6724
10,100,70,7738
10,150,70,7462
10,200,70,7342
10,250,70,7272
10,300,70,7242
10,100,75,8292
10,150,75,7992
10,200,75,7866
10,250,75,7792
10,300,75,7758
10,100,80,8854
10,150,80,8528
10,200,80,8392
10,250,80,8314
10,300,80,8280
10,100,85,9380
10,150,85,9046
10,200,85,8908
10,250,85,8826
10,300,85,8790
10,100,90,9928
10,150,90,9572
10,200,90,9428
10,250,90,9342
10,300,90,9306
10,100,95,10466
10,150,95,10092
10,200,95,9946
10,250,95,9856
10,300,95,9818
10,100,100,11034
10,150,100,10632
10,200,100,10476
10,250,100,10382
10,300,100,10338
