seed,range,num_data,packets
11,100,5,540
11,150,5,526
11,200,5,520
11,250,5,514
11,300,5,512
11,100,10,1090
11,150,10,1056
11,200,10,1044
11,250,10,1032
11,300,10,1028
11,100,15,1644
11,150,15,1588
11,200,15,1568
11,250,15,1552
11,300,15,1546
11,100,20,2196
11,150,20,2122
11,200,20,2092
11,250,20,2072
11,300,20,2064
11,100,25,2758
11,150,25,2662
11,200,25,2622
11,250,25,2594
11,300,25,2584
11,100,30,3318
11,150,30,3198
11,200,30,3148
11,250,30,3116
11,300,30,3102
11,100,35,3864
11,150,35,3728
11,200,35,3670
11,250,35,3634
11,300,35,3618
11,100,40,4418
11,150,40,4262
11,200,40,4196
11,250,40,4154
11,300,40,4136
11,100,45,4974
11,150,45,4794
11,200,45,4720
11,250,45,4672
11,300,45,4652
11,100,50,5524
11,150,50,5324
11,200,50,5242
11,250,50,5192
11,300,50,5168
11,100,55,6088
11,150,55,5860
11,200,55,5766
11,250,55,5716
11,300,55,5686
11,100,60,6642
11,150,60,6394
11,200,60,6294
11,250,60,6236
11,300,60,6204
11,100,65,7196
11,150,65,6926
11,200,65,6814
11,250,65,6752
11,300,65,6720
11,100,70,7738
11,150,70,7452
11,200,70,7332
11,250,70,7266
11,300,70,7234
11,100,75,8294
11,150,75,7982
11,200,75,7854
11,250,75,7784
11,300,75,7750
11,100,80,8824
11,150,80,8502
11,200,80,8366
11,250,80,8296
11,300,80,8262
11,100,85,9372
11,150,85,9030
11,200,85,8888
11,250,85,8814
11,300,85,8776
11,100,90,9938
11,150,90,9568
11,200,90,9420
11,250,90,9338
11,300,90,9296
11,100,95,10500
11,150,95,10102
11,200,95,9948
11,250,95,9860
11,300,95,9816
11,100,100,11034
11,150,100,10622
11,200,100,10464
11,250,100,10372
11,300,100,10328
