seed,range,num_data,packets
12,100,5,757
12,100,10,837
12,100,15,894
12,100,20,955
12,100,25,1008
12,100,30,1072
12,100,35,1138
12,100,40,1184
12,100,45,1238
12,100,50,1278
12,100,55,1377
12,100,60,1445
12,100,65,1463
12,100,70,1543
12,100,75,1629
12,100,80,1667
12,100,85,1723
12,100,90,1804
12,100,95,1821
12,100,100,1941
12,150,5,541
12,150,10,591
12,150,15,625
12,150,20,675
12,150,25,717
12,150,30,773
12,150,35,793
12,150,40,850
12,150,45,876
12,150,50,879
12,150,55,921
12,150,60,977
12,150,65,1004
12,150,70,1091
12,150,75,1099
12,150,80,1144
12,150,85,1147
12,150,90,1191
12,150,95,1241
12,150,100,1293
12,200,5,450
12,200,10,489
12,200,15,510
12,200,20,545
12,200,25,570
12,200,30,610
12,200,35,631
12,200,40,656
12,200,45,678
12,200,50,709
12,200,55,735
12,200,60,775
12,200,65,810
12,200,70,832
12,200,75,870
12,200,80,894
12,200,85,938
12,200,90,945
12,200,95,974
12,200,100,1037
12,250,5,399
12,250,10,430
12,250,15,451
12,250,20,483
12,250,25,508
12,250,30,540
12,250,35,556
12,250,40,585
12,250,45,605
12,250,50,634
12,250,55,656
12,250,60,680
12,250,65,705
12,250,70,726
12,250,75,746
12,250,80,776
12,250,85,838
12,250,90,837
12,250,95,861
12,250,100,886
12,300,5,381
12,300,10,407
12,300,15,426
12,300,20,450
12,300,25,474
12,300,30,490
12,300,35,519
12,300,40,531
12,300,45,554
12,300,50,571
12,300,55,595
12,300,60,612
12,300,65,625
12,300,70,655
12,300,75,693
12,300,80,691
12,300,85,711
12,300,90,736
12,300,95,762
12,300,100,795
