seed,range,num_data,packets
2,100,5,554
2,150,5,538
2,200,5,528
2,250,5,520
2,300,5,520
2,100,10,1112
2,150,10,1072
2,200,10,1052
2,250,10,1042
2,300,10,1034
2,100,15,1636
2,150,15,1590
2,200,15,1562
2,250,15,1552
2,300,15,1544
2,100,20,2184
2,150,20,2120
2,200,20,2086
2,250,20,2070
2,300,20,2060
2,100,25,2724
2,150,25,2642
2,200,25,2602
2,250,25,2586
2,300,25,2574
2,100,30,3260
2,150,30,3164
2,200,30,3118
2,250,30,3102
2,300,30,3086
2,100,35,3810
2,150,35,3694
2,200,35,3642
2,250,35,3618
2,300,35,3602
2,100,40,4336
2,150,40,4210
2,200,40,4156
2,250,40,4132
2,300,40,4114
2,100,45,4892
2,150,45,4746
2,200,45,4680
2,250,45,4654
2,300,45,4634
2,100,50,5448
2,150,50,5282
2,200,50,5210
2,250,50,5174
2,300,50,5154
2,100,55,5996
2,150,55,5812
2,200,55,5728
2,250,55,5692
2,300,55,5670
2,100,60,6548
2,150,60,6348
2,200,60,6254
2,250,60,6214
2,300,60,6186
2,100,65,7090
2,150,65,6874
2,200,65,6774
2,250,65,6730
2,300,65,6700
2,100,70,7636
2,150,70,7400
2,200,70,7294
2,250,70,7246
2,300,70,7216
2,100,75,8184
2,150,75,7934
2,200,75,7816
2,250,75,7766
2,300,75,7734
2,100,80,8742
2,150,80,8474
2,200,80,8344
2,250,80,8288
2,300,80,8254
2,100,85,9294
2,150,85,9008
2,200,85,8866
2,250,85,8810
2,300,85,8772
2,100,90,9834
2,150,90,9534
2,200,90,9384
2,250,90,9324
2,300,90,9286
2,100,95,10408
2,150,95,10082
2,200,95,9920
2,250,95,9854
2,300,95,9808
2,100,100,10950
2,150,100,10606
2,200,100,10440
2,250,100,10372
2,300,100,10322
