seed,range,num_data,packets
10,100,5,709
10,100,10,775
10,100,15,827
10,100,20,888
10,100,25,946
10,100,30,1003
10,100,35,1094
10,100,40,1139
10,100,45,1199
10,100,50,1237
10,100,55,1320
10,100,60,1390
10,100,65,1477
10,100,70,1557
10,100,75,1590
10,100,80,1628
10,100,85,1747
10,100,90,1780
10,100,95,1814
10,100,100,1925
10,150,5,510
10,150,10,551
10,150,15,583
10,150,20,621
10,150,25,658
10,150,30,695
10,150,35,740
10,150,40,789
10,150,45,826
10,150,50,861
10,150,55,895
10,150,60,933
10,150,65,1014
10,150,70,1064
10,150,75,1093
10,150,80,1146
10,150,85,1146
10,150,90,1170
10,150,95,1223
10,150,100,1277
10,200,5,430
10,200,10,462
10,200,15,485
10,200,20,514
10,200,25,547
10,200,30,567
10,200,35,596
10,200,40,639
10,200,45,665
10,200,50,691
10,200,55,732
10,200,60,742
10,200,65,797
10,200,70,835
10,200,75,860
10,200,80,897
10,200,85,905
10,200,90,929
10,200,95,968
10,200,100,989
10,250,5,394
10,250,10,422
10,250,15,444
10,250,20,470
10,250,25,492
10,250,30,517
10,250,35,543
10,250,40,571
10,250,45,598
10,250,50,626
10,250,55,656
10,250,60,685
10,250,65,707
10,250,70,719
10,250,75,746
10,250,80,799
10,250,85,802
10,250,90,820
10,250,95,837
10,250,100,879
10,300,5,361
10,300,10,385
10,300,15,405
10,300,20,424
10,300,25,443
10,300,30,466
10,300,35,489
10,300,40,513
10,300,45,553
10,300,50,550
10,300,55,570
10,300,60,604
10,300,65,629
10,300,70,647
10,300,75,664
10,300,80,699
10,300,85,708
10,300,90,734
10,300,95,750
10,300,100,776
