seed,range,num_data,packets
18,100,5,611
18,100,10,661
18,100,15,718
18,100,20,770
18,100,25,831
18,100,30,879
18,100,35,925
18,100,40,973
18,100,45,1064
18,100,50,1147
18,100,55,1210
18,100,60,1280
18,100,65,1299
18,100,70,1360
18,100,75,1416
18,100,80,1538
18,100,85,1611
18,100,90,1613
18,100,95,1672
18,100,100,1710
18,150,5,486
18,150,10,516
18,150,15,551
18,150,20,587
18,150,25,629
18,150,30,664
18,150,35,700
18,150,40,733
18,150,45,769
18,150,50,808
18,150,55,881
18,150,60,913
18,150,65,958
18,150,70,995
18,150,75,1042
18,150,80,1070
18,150,85,1118
18,150,90,1159
18,150,95,1203
18,150,100,1267
18,200,5,404
18,200,10,427
18,200,15,455
18,200,20,482
18,200,25,511
18,200,30,535
18,200,35,557
18,200,40,580
18,200,45,614
18,200,50,648
18,200,55,679
18,200,60,712
18,200,65,764
18,200,70,780
18,200,75,806
18,200,80,814
18,200,85,872
18,200,90,900
18,200,95,919
18,200,100,963
18,250,5,373
18,250,10,391
18,250,15,416
18,250,20,439
18,250,25,464
18,250,30,483
18,250,35,504
18,250,40,528
18,250,45,556
18,250,50,583
18,250,55,614
18,250,60,639
18,250,65,663
18,250,70,691
18,250,75,718
18,250,80,745
18,250,85,773
18,250,90,807
18,250,95,826
18,250,100,846
18,300,5,350
18,300,10,367
18,300,15,388
18,300,20,407
18,300,25,430
18,300,30,447
18,300,35,469
18,300,40,484
18,300,45,507
18,300,50,528
18,300,55,554
18,300,60,569
18,300,65,593
18,300,70,624
18,300,75,639
18,300,80,652
18,300,85,683
18,300,90,707
18,300,95,734
18,300,100,746
