seed,range,num_data,packets
2,100,5,840
2,100,10,897
2,100,15,948
2,100,20,992
2,100,25,1034
2,100,30,1090
2,100,35,1130
2,100,40,1169
2,100,45,1253
2,100,50,1335
2,100,55,1345
2,100,60,1448
2,100,65,1486
2,100,70,1521
2,100,75,1599
2,100,80,1682
2,100,85,1734
2,100,90,1818
2,100,95,1894
2,100,100,1931
2,150,5,589
2,150,10,637
2,150,15,657
2,150,20,704
2,150,25,719
2,150,30,745
2,150,35,795
2,150,40,829
2,150,45,853
2,150,50,896
2,150,55,919
2,150,60,977
2,150,65,1017
2,150,70,1065
2,150,75,1132
2,150,80,1166
2,150,85,1223
2,150,90,1243
2,150,95,1292
2,150,100,1359
2,200,5,466
2,200,10,506
2,200,15,516
2,200,20,543
2,200,25,566
2,200,30,584
2,200,35,626
2,200,40,638
2,200,45,667
2,200,50,696
2,200,55,715
2,200,60,764
2,200,65,786
2,200,70,827
2,200,75,864
2,200,80,899
2,200,85,925
2,200,90,947
2,200,95,996
2,200,100,1030
2,250,5,418
2,250,10,445
2,250,15,464
2,250,20,483
2,250,25,503
2,250,30,519
2,250,35,546
2,250,40,567
2,250,45,592
2,250,50,615
2,250,55,633
2,250,60,658
2,250,65,683
2,250,70,709
2,250,75,747
2,250,80,771
2,250,85,805
2,250,90,826
2,250,95,843
2,250,100,910
2,300,5,394
2,300,10,420
2,300,15,432
2,300,20,447
2,300,25,464
2,300,30,480
2,300,35,513
2,300,40,520
2,300,45,543
2,300,50,574
2,300,55,587
2,300,60,605
2,300,65,641
2,300,70,648
2,300,75,678
2,300,80,703
2,300,85,721
2,300,90,738
2,300,95,760
2,300,100,799
