seed,range,num_data,packets
19,100,5,687
19,100,10,724
19,100,15,791
19,100,20,852
19,100,25,905
19,100,30,970
19,100,35,1030
19,100,40,1121
19,100,45,1152
19,100,50,1202
19,100,55,1261
19,100,60,1320
19,100,65,1371
19,100,70,1495
19,100,75,1491
19,100,80,1557
19,100,85,1629
19,100,90,1671
19,100,95,1736
19,100,100,1809
19,150,5,490
19,150,10,517
19,150,15,556
19,150,20,602
19,150,25,641
19,150,30,683
19,150,35,724
19,150,40,754
19,150,45,791
19,150,50,826
19,150,55,865
19,150,60,904
19,150,65,938
19,150,70,981
19,150,75,1028
19,150,80,1061
19,150,85,1126
19,150,90,1157
19,150,95,1159
19,150,100,1201
19,200,5,430
19,200,10,450
19,200,15,476
19,200,20,516
19,200,25,537
19,200,30,571
19,200,35,610
19,200,40,618
19,200,45,657
19,200,50,679
19,200,55,713
19,200,60,726
19,200,65,758
19,200,70,803
19,200,75,824
19,200,80,852
19,200,85,879
19,200,90,926
19,200,95,929
19,200,100,971
19,250,5,397
19,250,10,414
19,250,15,438
19,250,20,467
19,250,25,490
19,250,30,522
19,250,35,551
19,250,40,562
19,250,45,588
19,250,50,613
19,250,55,631
19,250,60,653
19,250,65,678
19,250,70,708
19,250,75,737
19,250,80,772
19,250,85,793
19,250,90,804
19,250,95,829
19,250,100,852
19,300,5,364
19,300,10,381
19,300,15,403
19,300,20,425
19,300,25,443
19,300,30,463
19,300,35,482
19,300,40,501
19,300,45,517
19,300,50,541
19,300,55,556
19,300,60,582
19,300,65,600
19,300,70,615
19,300,75,663
19,300,80,677
19,300,85,685
19,300,90,698
19,300,95,719
19,300,100,743
