seed,range,num_data,packets
0,100,5,540
0,150,5,526
0,200,5,522
0,250,5,516
0,300,5,516
0,100,10,1088
0,150,10,1058
0,200,10,1044
0,250,10,1036
0,300,10,1032
0,100,15,1648
0,150,15,1594
0,200,15,1570
0,250,15,1556
0,300,15,1550
0,100,20,2192
0,150,20,2124
0,200,20,2092
0,250,20,2074
0,300,20,2066
0,100,25,2740
0,150,25,2650
0,200,25,2612
0,250,25,2592
0,300,25,2580
0,100,30,3292
0,150,30,3184
0,200,30,3138
0,250,30,3114
0,300,30,3096
0,100,35,3846
0,150,35,3718
0,200,35,3662
0,250,35,3634
0,300,35,3612
0,100,40,4392
0,150,40,4254
0,200,40,4188
0,250,40,4156
0,300,40,4130
0,100,45,4942
0,150,45,4786
0,200,45,4712
0,250,45,4678
0,300,45,4650
0,100,50,5490
0,150,50,5316
0,200,50,5236
0,250,50,5198
0,300,50,5166
0,100,55,6060
0,150,55,5858
0,200,55,5768
0,250,55,5726
0,300,55,5688
0,100,60,6606
0,150,60,6390
0,200,60,6292
0,250,60,6244
0,300,60,6204
0,100,65,7148
0,150,65,6920
0,200,65,6812
0,250,65,6762
0,300,65,6718
0,100,70,7684
0,150,70,7444
0,200,70,7332
0,250,70,7276
0,300,70,7232
0,100,75,8236
0,150,75,7974
0,200,75,7858
0,250,75,7798
0,300,75,7748
0,100,80,8782
0,150,80,8504
0,200,80,8380
0,250,80,8314
0,300,80,8264
0,100,85,9320
0,150,85,9026
0,200,85,8900
0,250,85,8830
0,300,85,8778
0,100,90,9866
0,150,90,9560
0,200,90,9426
0,250,90,9348
0,300,90,9296
0,100,95,10432
0,150,95,10100
0,200,95,9954
0,250,95,9872
0,300,95,9816
0,100,100,10990
0,150,100,10634
0,200,100,10478
0,250,100,10394
0,300,100,10334
