seed,range,num_data,packets
14,100,5,690
14,100,10,761
14,100,15,807
14,100,20,860
14,100,25,906
14,100,30,962
14,100,35,1012
14,100,40,1041
14,100,45,1107
14,100,50,1146
14,100,55,1201
14,100,60,1238
14,100,65,1296
14,100,70,1340
14,100,75,1427
14,100,80,1463
14,100,85,1537
14,100,90,1606
14,100,95,1675
14,100,100,1679
14,150,5,529
14,150,10,578
14,150,15,609
14,150,20,647
14,150,25,680
14,150,30,718
14,150,35,753
14,150,40,786
14,150,45,822
14,150,50,844
14,150,55,886
14,150,60,917
14,150,65,969
14,150,70,1021
14,150,75,1054
14,150,80,1073
14,150,85,1108
14,150,90,1172
14,150,95,1206
14,150,100,1290
14,200,5,419
14,200,10,452
14,200,15,475
14,200,20,503
14,200,25,532
14,200,30,557
14,200,35,576
14,200,40,604
14,200,45,650
14,200,50,646
14,200,55,685
14,200,60,703
14,200,65,746
14,200,70,757
14,200,75,781
14,200,80,815
14,200,85,848
14,200,90,869
14,200,95,910
14,200,100,958
14,250,5,384
14,250,10,411
14,250,15,434
14,250,20,458
14,250,25,480
14,250,30,505
14,250,35,531
14,250,40,544
14,250,45,572
14,250,50,582
14,250,55,607
14,250,60,624
14,250,65,640
14,250,70,670
14,250,75,691
14,250,80,715
14,250,85,749
14,250,90,794
14,250,95,803
14,250,100,838
14,300,5,363
14,300,10,388
14,300,15,405
14,300,20,425
14,300,25,444
14,300,30,460
14,300,35,476
14,300,40,492
14,300,45,510
14,300,50,531
14,300,55,546
14,300,60,564
14,300,65,578
14,300,70,602
14,300,75,619
14,300,80,646
14,300,85,659
14,300,90,683
14,300,95,700
14,300,100,722
