seed,range,num_data,packets
6,100,5,597
6,100,10,680
6,100,15,721
6,100,20,802
6,100,25,834
6,100,30,891
6,100,35,941
6,100,40,976
6,100,45,1024
6,100,50,1109
6,100,55,1176
6,100,60,1178
6,100,65,1291
6,100,70,1344
6,100,75,1373
6,100,80,1467
6,100,85,1544
6,100,90,1532
6,100,95,1622
6,100,100,1659
6,150,5,488
6,150,10,534
6,150,15,574
6,150,20,614
6,150,25,655
6,150,30,690
6,150,35,726
6,150,40,782
6,150,45,795
6,150,50,868
6,150,55,873
6,150,60,914
6,150,65,969
6,150,70,995
6,150,75,1031
6,150,80,1071
6,150,85,1156
6,150,90,1149
6,150,95,1232
6,150,100,1245
6,200,5,417
6,200,10,452
6,200,15,483
6,200,20,514
6,200,25,544
6,200,30,578
6,200,35,596
6,200,40,615
6,200,45,646
6,200,50,675
6,200,55,727
6,200,60,739
6,200,65,779
6,200,70,786
6,200,75,827
6,200,80,840
6,200,85,880
6,200,90,891
6,200,95,927
6,200,100,946
6,250,5,371
6,250,10,400
6,250,15,426
6,250,20,451
6,250,25,482
6,250,30,506
6,250,35,523
6,250,40,542
6,250,45,574
6,250,50,583
6,250,55,609
6,250,60,631
6,250,65,674
6,250,70,682
6,250,75,702
6,250,80,719
6,250,85,760
6,250,90,777
6,250,95,810
6,250,100,814
6,300,5,350
6,300,10,373
6,300,15,395
6,300,20,416
6,300,25,438
6,300,30,454
6,300,35,477
6,300,40,491
6,300,45,510
6,300,50,532
6,300,55,554
6,300,60,571
6,300,65,595
6,300,70,613
6,300,75,635
6,300,80,650
6,300,85,672
6,300,90,700
6,300,95,717
6,300,100,739
