seed,range,num_data,packets
9,100,5,538
9,150,5,526
9,200,5,518
9,250,5,516
9,300,5,514
9,100,10,1092
9,150,10,1062
9,200,10,1046
9,250,10,1034
9,300,10,1032
9,100,15,1632
9,150,15,1588
9,200,15,1564
9,250,15,1552
9,300,15,1548
9,100,20,2176
9,150,20,2118
9,200,20,2086
9,250,20,2072
9,300,20,2064
9,100,25,2736
9,150,25,2658
9,200,25,2616
9,250,25,2594
9,300,25,2582
9,100,30,3284
9,150,30,3190
9,200,30,3140
9,250,30,3112
9,300,30,3098
9,100,35,3846
9,150,35,3730
9,200,35,3668
9,250,35,3636
9,300,35,3616
9,100,40,4386
9,150,40,4258
9,200,40,4188
9,250,40,4152
9,300,40,4132
9,100,45,4942
9,150,45,4792
9,200,45,4714
9,250,45,4672
9,300,45,4648
9,100,50,5492
9,150,50,5326
9,200,50,5238
9,250,50,5192
9,300,50,5166
9,100,55,6048
9,150,55,5860
9,200,55,5764
9,250,55,5714
9,300,55,5684
9,100,60,6608
9,150,60,6396
9,200,60,6292
9,250,60,6236
9,300,60,6202
9,100,65,7138
9,150,65,6918
9,200,65,6806
9,250,65,6748
9,300,65,6714
9,100,70,7684
9,150,70,7450
9,200,70,7330
9,250,70,7266
9,300,70,7232
9,100,75,8212
9,150,75,7972
9,200,75,7844
9,250,75,7778
9,300,75,7742
9,100,80,8776
9,150,80,8510
9,200,80,8370
9,250,80,8302
9,300,80,8262
9,100,85,9322
9,150,85,9040
9,200,85,8894
9,250,85,8820
9,300,85,8780
9,100,90,9878
9,150,90,9576
9,200,90,9422
9,250,90,9340
9,300,90,9298
9,100,95,10424
9,150,95,10104
9,200,95,9942
9,250,95,9858
9,300,95,9812
9,100,100,10958
9,150,100,10628
9,200,100,10462
9,250,100,10372
9,300,100,10326
