seed,range,num_data,packets
15,100,5,662
15,100,10,722
15,100,15,778
15,100,20,837
15,100,25,896
15,100,30,950
15,100,35,1049
15,100,40,1082
15,100,45,1128
15,100,50,1235
15,100,55,1268
15,100,60,1329
15,100,65,1421
15,100,70,1483
15,100,75,1528
15,100,80,1625
15,100,85,1667
15,100,90,1742
15,100,95,1769
15,100,100,1858
15,150,5,528
15,150,10,568
15,150,15,604
15,150,20,641
15,150,25,683
15,150,30,729
15,150,35,759
15,150,40,784
15,150,45,831
15,150,50,887
15,150,55,926
15,150,60,951
15,150,65,983
15,150,70,1042
15,150,75,1145
15,150,80,1112
15,150,85,1172
15,150,90,1180
15,150,95,1209
15,150,100,1337
15,200,5,439
15,200,10,466
15,200,15,493
15,200,20,523
15,200,25,557
15,200,30,585
15,200,35,616
15,200,40,649
15,200,45,665
15,200,50,698
15,200,55,741
15,200,60,763
15,200,65,785
15,200,70,816
15,200,75,860
15,200,80,898
15,200,85,934
15,200,90,950
15,200,95,962
15,200,100,1000
15,250,5,400
15,250,10,426
15,250,15,446
15,250,20,472
15,250,25,495
15,250,30,525
15,250,35,558
15,250,40,567
15,250,45,594
15,250,50,630
15,250,55,649
15,250,60,677
15,250,65,694
15,250,70,725
15,250,75,755
15,250,80,771
15,250,85,802
15,250,90,821
15,250,95,851
15,250,100,862
15,300,5,368
15,300,10,391
15,300,15,409
15,300,20,432
15,300,25,477
15,300,30,481
15,300,35,499
15,300,40,517
15,300,45,540
15,300,50,566
15,300,55,581
15,300,60,613
15,300,65,638
15,300,70,663
15,300,75,681
15,300,80,700
15,300,85,717
15,300,90,746
15,300,95,756
15,300,100,780
