seed,range,num_data,packets
7,100,5,877
7,100,10,938
7,100,15,993
7,100,20,1057
7,100,25,1116
7,100,30,1181
7,100,35,1282
7,100,40,1332
7,100,45,1372
7,100,50,1451
7,100,55,1523
7,100,60,1572
7,100,65,1637
7,100,70,1703
7,100,75,1706
7,100,80,1809
7,100,85,1854
7,100,90,1947
7,100,95,1997
7,100,100,2040
7,150,5,631
7,150,10,672
7,150,15,716
7,150,20,749
7,150,25,795
7,150,30,835
7,150,35,889
7,150,40,931
7,150,45,953
7,150,50,1006
7,150,55,1050
7,150,60,1095
7,150,65,1121
7,150,70,1166
7,150,75,1195
7,150,80,1271
7,150,85,1284
7,150,90,1299
7,150,95,1328
7,150,100,1411
7,200,5,517
7,200,10,548
7,200,15,576
7,200,20,607
7,200,25,637
7,200,30,682
7,200,35,704
7,200,40,740
7,200,45,780
7,200,50,800
7,200,55,819
7,200,60,862
7,200,65,904
7,200,70,921
7,200,75,953
7,200,80,982
7,200,85,1001
7,200,90,1022
7,200,95,1050
7,200,100,1085
7,250,5,446
7,250,10,472
7,250,15,496
7,250,20,531
7,250,25,551
7,250,30,578
7,250,35,600
7,250,40,629
7,250,45,658
7,250,50,689
7,250,55,701
7,250,60,729
7,250,65,755
7,250,70,781
7,250,75,801
7,250,80,830
7,250,85,848
7,250,90,887
7,250,95,911
7,250,100,924
7,300,5,417
7,300,10,437
7,300,15,460
7,300,20,477
7,300,25,499
7,300,30,528
7,300,35,548
7,300,40,568
7,300,45,593
7,300,50,611
7,300,55,633
7,300,60,661
7,300,65,676
7,300,70,694
7,300,75,721
7,300,80,738
7,300,85,768
7,300,90,778
7,300,95,795
7,300,100,826
