seed,range,num_data,packets
6,100,5,544
6,150,5,528
6,200,5,524
6,250,5,518
6,300,5,516
6,100,10,1098
6,150,10,1062
6,200,10,1050
6,250,10,1038
6,300,10,1034
6,100,15,1644
6,150,15,1592
6,200,15,1572
6,250,15,1558
6,300,15,1552
6,100,20,2190
6,150,20,2120
6,200,20,2094
6,250,20,2076
6,300,20,2070
6,100,25,2742
6,150,25,2652
6,200,25,2618
6,250,25,2600
6,300,25,2588
6,100,30,3274
6,150,30,3174
6,200,30,3134
6,250,30,3116
6,300,30,3100
6,100,35,3826
6,150,35,3706
6,200,35,3660
6,250,35,3634
6,300,35,3618
6,100,40,4362
6,150,40,4230
6,200,40,4178
6,250,40,4148
6,300,40,4130
6,100,45,4918
6,150,45,4766
6,200,45,4704
6,250,45,4670
6,300,45,4648
6,100,50,5472
6,150,50,5298
6,200,50,5230
6,250,50,5192
6,300,50,5164
6,100,55,6002
6,150,55,5820
6,200,55,5746
6,250,55,5706
6,300,55,5676
6,100,60,6540
6,150,60,6348
6,200,60,6264
6,250,60,6222
6,300,60,6190
6,100,65,7080
6,150,65,6874
6,200,65,6784
6,250,65,6738
6,300,65,6706
6,100,70,7636
6,150,70,7410
6,200,70,7312
6,250,70,7260
6,300,70,7226
6,100,75,8178
6,150,75,7940
6,200,75,7832
6,250,75,7776
6,300,75,7740
6,100,80,8718
6,150,80,8468
6,200,80,8352
6,250,80,8294
6,300,80,8258
6,100,85,9276
6,150,85,9004
6,200,85,8878
6,250,85,8816
6,300,85,8778
6,100,90,9830
6,150,90,9540
6,200,90,9406
6,250,90,9336
6,300,90,9296
6,100,95,10388
6,150,95,10074
6,200,95,9932
6,250,95,9858
6,300,95,9814
6,100,100,10930
6,150,100,10600
6,200,100,10450
6,250,100,10374
6,300,100,10330
