seed,range,num_data,packets
7,100,5,550
7,150,5,532
7,200,5,522
7,250,5,520
7,300,5,514
7,100,10,1094
7,150,10,1058
7,200,10,1046
7,250,10,1036
7,300,10,1030
7,100,15,1642
7,150,15,1584
7,200,15,1566
7,250,15,1556
7,300,15,1546
7,100,20,2194
7,150,20,2118
7,200,20,2092
7,250,20,2078
7,300,20,2060
7,100,25,2746
7,150,25,2650
7,200,25,2614
7,250,25,2598
7,300,25,2580
7,100,30,3302
7,150,30,3188
7,200,30,3144
7,250,30,3120
7,300,30,3100
7,100,35,3850
7,150,35,3718
7,200,35,3668
7,250,35,3638
7,300,35,3618
7,100,40,4414
7,150,40,4256
7,200,40,4196
7,250,40,4160
7,300,40,4138
7,100,45,4946
7,150,45,4774
7,200,45,4712
7,250,45,4672
7,300,45,4650
7,100,50,5504
7,150,50,5312
7,200,50,5242
7,250,50,5196
7,300,50,5170
7,100,55,6038
7,150,55,5834
7,200,55,5760
7,250,55,5710
7,300,55,5682
7,100,60,6576
7,150,60,6362
7,200,60,6280
7,250,60,6226
7,300,60,6198
7,100,65,7126
7,150,65,6896
7,200,65,6802
7,250,65,6748
7,300,65,6712
7,100,70,7692
7,150,70,7434
7,200,70,7332
7,250,70,7272
7,300,70,7230
7,100,75,8236
7,150,75,7960
7,200,75,7850
7,250,75,7788
7,300,75,7746
7,100,80,8772
7,150,80,8486
7,200,80,8368
7,250,80,8304
7,300,80,8260
7,100,85,9304
7,150,85,9006
7,200,85,8884
7,250,85,8818
7,300,85,8774
7,100,90,9854
7,150,90,9538
7,200,90,9404
7,250,90,9336
7,300,90,9290
7,100,95,10406
7,150,95,10070
7,200,95,9930
7,250,95,9854
7,300,95,9806
7,100,100,10942
7,150,100,10594
7,200,100,10448
7,250,100,10368
7,300,100,10320
