seed,range,num_data,packets
5,100,5,761
5,100,10,833
5,100,15,892
5,100,20,957
5,100,25,1027
5,100,30,1083
5,100,35,1147
5,100,40,1219
5,100,45,1283
5,100,50,1343
5,100,55,1468
5,100,60,1471
5,100,65,1564
5,100,70,1625
5,100,75,1715
5,100,80,1822
5,100,85,1860
5,100,90,2008
5,100,95,1961
5,100,100,2053
5,150,5,536
5,150,10,586
5,150,15,627
5,150,20,670
5,150,25,716
5,150,30,753
5,150,35,796
5,150,40,864
5,150,45,871
5,150,50,933
5,150,55,978
5,150,60,1020
5,150,65,1055
5,150,70,1116
5,150,75,1156
5,150,80,1205
5,150,85,1239
5,150,90,1312
5,150,95,1314
5,150,100,1321
5,200,5,480
5,200,10,516
5,200,15,545
5,200,20,577
5,200,25,611
5,200,30,640
5,200,35,672
5,200,40,700
5,200,45,748
5,200,50,768
5,200,55,794
5,200,60,822
5,200,65,873
5,200,70,893
5,200,75,934
5,200,80,952
5,200,85,989
5,200,90,1019
5,200,95,1036
5,200,100,1075
5,250,5,411
5,250,10,439
5,250,15,463
5,250,20,491
5,250,25,524
5,250,30,542
5,250,35,566
5,250,40,599
5,250,45,631
5,250,50,658
5,250,55,672
5,250,60,691
5,250,65,724
5,250,70,759
5,250,75,790
5,250,80,810
5,250,85,825
5,250,90,858
5,250,95,886
5,250,100,887
5,300,5,384
5,300,10,409
5,300,15,430
5,300,20,464
5,300,25,479
5,300,30,500
5,300,35,526
5,300,40,542
5,300,45,570
5,300,50,594
5,300,55,606
5,300,60,630
5,300,65,652
5,300,70,683
5,300,75,714
5,300,80,729
5,300,85,752
5,300,90,759
5,300,95,782
5,300,100,799
