seed,range,num_data,packets
1,100,5,724
1,100,10,777
1,100,15,848
1,100,20,904
1,100,25,964
1,100,30,1032
1,100,35,1092
1,100,40,1120
1,100,45,1224
1,100,50,1220
1,100,55,1337
1,100,60,1361
1,100,65,1484
1,100,70,1545
1,100,75,1598
1,100,80,1643
1,100,85,1731
1,100,90,1740
1,100,95,1857
1,100,100,1912
1,150,5,538
1,150,10,574
1,150,15,619
1,150,20,655
1,150,25,696
1,150,30,735
1,150,35,779
1,150,40,797
1,150,45,837
1,150,50,865
1,150,55,903
1,150,60,970
1,150,65,1001
1,150,70,1056
1,150,75,1144
1,150,80,1152
1,150,85,1166
1,150,90,1241
1,150,95,1269
1,150,100,1331
1,200,5,444
1,200,10,471
1,200,15,506
1,200,20,536
1,200,25,568
1,200,30,597
1,200,35,625
1,200,40,641
1,200,45,674
1,200,50,711
1,200,55,745
1,200,60,768
1,200,65,808
1,200,70,863
1,200,75,883
1,200,80,888
1,200,85,952
1,200,90,959
1,200,95,983
1,200,100,1007
1,250,5,402
1,250,10,422
1,250,15,449
1,250,20,475
1,250,25,501
1,250,30,526
1,250,35,554
1,250,40,570
1,250,45,592
1,250,50,610
1,250,55,650
1,250,60,679
1,250,65,703
1,250,70,728
1,250,75,749
1,250,80,782
1,250,85,802
1,250,90,834
1,250,95,893
1,250,100,889
1,300,5,376
1,300,10,393
1,300,15,416
1,300,20,434
1,300,25,456
1,300,30,476
1,300,35,499
1,300,40,511
1,300,45,531
1,300,50,553
1,300,55,576
1,300,60,601
1,300,65,626
1,300,70,639
1,300,75,659
1,300,80,694
1,300,85,709
1,300,90,734
1,300,95,755
1,300,100,772
