seed,range,num_data,packets
4,100,5,560
4,150,5,536
4,200,5,528
4,250,5,526
4,300,5,518
4,100,10,1086
4,150,10,1050
4,200,10,1042
4,250,10,1038
4,300,10,1030
4,100,15,1626
4,150,15,1576
4,200,15,1562
4,250,15,1554
4,300,15,1546
4,100,20,2188
4,150,20,2116
4,200,20,2094
4,250,20,2080
4,300,20,2066
4,100,25,2726
4,150,25,2644
4,200,25,2614
4,250,25,2596
4,300,25,2580
4,100,30,3272
4,150,30,3168
4,200,30,3134
4,250,30,3114
4,300,30,3094
4,100,35,3822
4,150,35,3696
4,200,35,3656
4,250,35,3634
4,300,35,3608
4,100,40,4374
4,150,40,4226
4,200,40,4178
4,250,40,4150
4,300,40,4124
4,100,45,4910
4,150,45,4746
4,200,45,4696
4,250,45,4664
4,300,45,4636
4,100,50,5442
4,150,50,5268
4,200,50,5212
4,250,50,5180
4,300,50,5146
4,100,55,6000
4,150,55,5804
4,200,55,5738
4,250,55,5702
4,300,55,5664
4,100,60,6536
4,150,60,6326
4,200,60,6254
4,250,60,6216
4,300,60,6178
4,100,65,7084
4,150,65,6858
4,200,65,6776
4,250,65,6736
4,300,65,6694
4,100,70,7634
4,150,70,7388
4,200,70,7298
4,250,70,7256
4,300,70,7208
4,100,75,8192
4,150,75,7922
4,200,75,7820
4,250,75,7774
4,300,75,7726
4,100,80,8728
4,150,80,8444
4,200,80,8336
4,250,80,8288
4,300,80,8240
4,100,85,9278
4,150,85,8974
4,200,85,8860
4,250,85,8806
4,300,85,8756
4,100,90,9810
4,150,90,9494
4,200,90,9374
4,250,90,9320
4,300,90,9268
4,100,95,10354
4,150,95,10020
4,200,95,9898
4,250,95,9838
4,300,95,9784
4,100,100,10894
4,150,100,10546
4,200,100,10420
4,250,100,10354
4,300,100,10298
